dt,sensor,lux,con,spl
7/1/2016 0:00,sensor_0,12718.75,2884.055,74.31976211
7/1/2016 0:00,sensor_2,0,1715.53625,70.60401616
7/1/2016 0:00,sensor_3,0,2151.45875,74.76823434
7/1/2016 0:00,sensor_4,0,2243.90875,69.98024857
7/1/2016 4:00,sensor_0,44847.625,3095.6,79.04492101
7/1/2016 4:00,sensor_2,2236.25,2058.23125,74.04263653
7/1/2016 4:00,sensor_3,901.75,1867.82625,77.56890414
7/1/2016 4:00,sensor_4,5174.75,2137.3425,71.1218158
7/1/2016 8:00,sensor_0,30495.625,3168.89,84.6614532
7/1/2016 8:00,sensor_2,19660.625,2575.7025,75.42336257
7/1/2016 8:00,sensor_3,5489,2665.255,79.02989907
7/1/2016 8:00,sensor_4,41880.625,3313.1375,73.94891275
7/1/2016 12:00,sensor_0,6932.5,2636.56875,77.22736004
7/1/2016 12:00,sensor_2,14932.25,2739.82375,77.48425755
7/1/2016 12:00,sensor_3,8449.125,2559.3325,80.16989778
7/1/2016 12:00,sensor_4,40735,2966.8025,78.39863494
7/1/2016 16:00,sensor_0,0,2126.215,77.15215707
7/1/2016 16:00,sensor_2,4450,2657.8925,76.32666732
7/1/2016 16:00,sensor_3,2862.125,2398.10125,79.21164474
7/1/2016 16:00,sensor_4,13103.875,3072.615,78.39443664
7/1/2016 20:00,sensor_0,94.75,2405.83875,76.19494475
7/1/2016 20:00,sensor_2,63.125,1881.91375,74.85902264
7/1/2016 20:00,sensor_3,36.25,1536.96125,79.72521235
7/1/2016 20:00,sensor_4,170.25,2158.7975,75.71587745
7/2/2016 0:00,sensor_0,12758.125,2271.68125,82.78665388
7/2/2016 0:00,sensor_2,0,1996.84875,72.86424529
7/2/2016 0:00,sensor_3,0,1767.0725,76.22103843
7/2/2016 0:00,sensor_4,0,2411.705,71.84755243
7/2/2016 4:00,sensor_0,43631.375,2269.195,85.24585729
7/2/2016 4:00,sensor_2,1942.625,2137.6525,71.37023372
7/2/2016 4:00,sensor_3,497.75,1671.9975,71.107221
7/2/2016 4:00,sensor_4,2357.625,1999.0625,82.25007333
7/2/2016 8:00,sensor_0,40940.125,2199.9925,85.90441134
7/2/2016 8:00,sensor_2,16270.75,1961.58125,75.24531914
7/2/2016 8:00,sensor_3,3040.5,1878.82375,76.97360268
7/2/2016 8:00,sensor_4,29966.875,1687.49625,83.50106942
7/2/2016 12:00,sensor_0,3535.125,2597.7,77.73630249
7/2/2016 12:00,sensor_2,9203.625,2358.03125,77.24304101
7/2/2016 12:00,sensor_3,6089.25,2000.4025,77.42875806
7/2/2016 12:00,sensor_4,36907.125,1519.1675,83.12933836
7/2/2016 16:00,sensor_0,0,1569.4825,70.25826713
7/2/2016 16:00,sensor_2,4238.375,2021.965,74.75075139
7/2/2016 16:00,sensor_3,3606.5,2202.87125,80.98350088
7/2/2016 16:00,sensor_4,13139.5,2000.93875,79.8422872
7/2/2016 20:00,sensor_0,106,1647.84875,60.54717869
7/2/2016 20:00,sensor_2,80.75,1485.0175,73.71698712
7/2/2016 20:00,sensor_3,64.625,2176.96125,77.49600877
7/2/2016 20:00,sensor_4,248.5,2037.005,71.56810057
7/3/2016 0:00,sensor_0,14573.5,2413.36875,66.5677786
7/3/2016 0:00,sensor_2,0,1585.71125,69.62141865
7/3/2016 0:00,sensor_3,0,1443.1675,73.12745969
7/3/2016 0:00,sensor_4,0,2040.9325,68.45332345
7/3/2016 4:00,sensor_0,41364.375,1953.63625,73.32283465
7/3/2016 4:00,sensor_2,2268.125,1701.33,71.12893663
7/3/2016 4:00,sensor_3,707.625,1507.59375,72.37508641
7/3/2016 4:00,sensor_4,4228.75,2171.33125,68.21370106
7/3/2016 8:00,sensor_0,26405.625,2372.84125,80.69912232
7/3/2016 8:00,sensor_2,12047.75,1725.30375,74.21157549
7/3/2016 8:00,sensor_3,4445,1554.5025,74.56968021
7/3/2016 8:00,sensor_4,40030.5,2046.46,70.65053773
7/3/2016 12:00,sensor_0,5228.25,2606.55125,80.54717869
7/3/2016 12:00,sensor_2,11084.125,1935.88,76.92933886
7/3/2016 12:00,sensor_3,7052.375,1367.24625,75.54920713
7/3/2016 12:00,sensor_4,38112.375,2060.605,72.39523949
7/3/2016 16:00,sensor_0,0,2241.1675,72.84016106
7/3/2016 16:00,sensor_2,4688.625,1683.895,74.20091319
7/3/2016 16:00,sensor_3,3546.375,1688.99125,73.15017163
7/3/2016 16:00,sensor_4,14415.125,2085.59625,73.50529623
7/3/2016 20:00,sensor_0,100.875,2005.8275,60.54717869
7/3/2016 20:00,sensor_2,73.5,1628.815,72.66923809
7/3/2016 20:00,sensor_3,52.25,1581.95625,76.0758267
7/3/2016 20:00,sensor_4,216,1956.915,73.0235475
7/4/2016 0:00,sensor_0,10879.25,1711.7475,69.00245054
7/4/2016 0:00,sensor_2,0,1877.32875,69.16834238
7/4/2016 0:00,sensor_3,0,1507.95875,72.72664104
7/4/2016 0:00,sensor_4,0,2069.6625,68.4458457
7/4/2016 4:00,sensor_0,9696,1924.13875,79.40192563
7/4/2016 4:00,sensor_2,1865.25,1895.13375,69.97535534
7/4/2016 4:00,sensor_3,458.125,1648.94375,76.55347617
7/4/2016 4:00,sensor_4,2306.5,1892.9375,66.83674004
7/4/2016 8:00,sensor_0,17201,2371.32375,85.48062535
7/4/2016 8:00,sensor_2,14246.75,2201.60875,73.72064177
7/4/2016 8:00,sensor_3,1318,2663.12375,78.71734805
7/4/2016 8:00,sensor_4,4728,2053.17,71.27303223
7/4/2016 12:00,sensor_0,3145.75,2338.81875,82.98185062
7/4/2016 12:00,sensor_2,4612.125,1607.42625,75.73111564
7/4/2016 12:00,sensor_3,4075,1807.38125,74.68559944
7/4/2016 12:00,sensor_4,23064.5,2266.445,76.89912353
7/4/2016 16:00,sensor_0,0,2983.3925,71.50122527
7/4/2016 16:00,sensor_2,4006.875,1839.7075,77.96209387
7/4/2016 16:00,sensor_3,3564.5,2050.1325,75.82150449
7/4/2016 16:00,sensor_4,12479.125,2362.11,75.9964895
7/4/2016 20:00,sensor_0,37,1593.78875,66.30847906
7/4/2016 20:00,sensor_2,22.875,1996.76,76.33937097
7/4/2016 20:00,sensor_3,13,1962.96875,74.27534495
7/4/2016 20:00,sensor_4,57.75,2664.16625,74.37894778
7/5/2016 0:00,sensor_0,14514.5,2441.99875,73.55447211
7/5/2016 0:00,sensor_2,0,1330.37375,69.40601794
7/5/2016 0:00,sensor_3,33.75,1211.3125,73.8290566
7/5/2016 0:00,sensor_4,0,1600.76625,69.62357576
7/5/2016 4:00,sensor_0,43256.5,2036.97625,74.72858531
7/5/2016 4:00,sensor_2,968.25,1461.88125,71.90903856
7/5/2016 4:00,sensor_3,33.75,1454.58,77.84690223
7/5/2016 4:00,sensor_4,2910.75,2045.245,70.96864812
7/5/2016 8:00,sensor_0,42733.6,1557.736,75.58362492
7/5/2016 8:00,sensor_2,13711.625,1559.495,75.35906931
7/5/2016 8:00,sensor_3,5076.25,3045.07,79.26948623
7/5/2016 8:00,sensor_4,41264.125,1979.32375,72.90521987
7/5/2016 12:00,sensor_0,1465,2692.825,71.50122527
7/5/2016 12:00,sensor_2,8347.75,1680.4375,76.02340857
7/5/2016 12:00,sensor_3,6696.25,2341.755,78.84484807
7/5/2016 12:00,sensor_4,37687.375,4089.42,72.39667537
7/5/2016 16:00,sensor_0,0,2438.2675,73.55447211
7/5/2016 16:00,sensor_2,1975.5,2135.28875,76.69271376
7/5/2016 16:00,sensor_3,3048.375,3766.225,78.7802238
7/5/2016 16:00,sensor_4,8705.25,2038.2575,73.38849024
7/5/2016 20:00,sensor_0,101.25,2088.87875,66.5677786
7/5/2016 20:00,sensor_2,72.75,1510.77875,73.65066292
7/5/2016 20:00,sensor_3,70.625,1809.29375,77.92130845
7/5/2016 20:00,sensor_4,277.75,2245.69375,70.3230448
7/6/2016 0:00,sensor_0,11616.375,2854.5725,70.42371765
7/6/2016 0:00,sensor_2,0,1415.2,71.62054149
7/6/2016 0:00,sensor_3,0,1893.855,72.35766616
7/6/2016 0:00,sensor_4,0,2446.6525,69.44068044
7/6/2016 4:00,sensor_0,15407.375,2486.30875,74.8278537
7/6/2016 4:00,sensor_2,1618.75,1975.365,76.2868406
7/6/2016 4:00,sensor_3,540,2050.3975,80.785554
7/6/2016 4:00,sensor_4,3366.75,2572.77625,71.71229317
7/6/2016 8:00,sensor_0,39952.375,2857.81375,81.51327228
7/6/2016 8:00,sensor_2,8607.125,2693.19125,75.44856636
7/6/2016 8:00,sensor_3,1345.125,2146.25625,81.17832959
7/6/2016 8:00,sensor_4,4777.25,2555.0975,72.12802806
7/6/2016 12:00,sensor_0,2892.625,2734.44,79.74483422
7/6/2016 12:00,sensor_2,5828.375,2208.92875,77.39002512
7/6/2016 12:00,sensor_3,4941.25,1903.5325,82.20658951
7/6/2016 12:00,sensor_4,28119.75,13388.5,73.38698806
7/6/2016 16:00,sensor_0,0,2680.4325,70.74545405
7/6/2016 16:00,sensor_2,1943.125,1779.05,78.87158348
7/6/2016 16:00,sensor_3,2954.875,1922.28375,80.63663023
7/6/2016 16:00,sensor_4,8710.875,6720.19875,77.2018085
7/6/2016 20:00,sensor_0,93.5,2240.76,66.04119983
7/6/2016 20:00,sensor_2,68,1434.225,72.05497936
7/6/2016 20:00,sensor_3,57,1548.41875,80.11204839
7/6/2016 20:00,sensor_4,237.375,4137.54875,70.48825005
7/7/2016 0:00,sensor_0,13314.375,2311.30875,70.74545405
7/7/2016 0:00,sensor_2,0,1494.7925,71.12893663
7/7/2016 0:00,sensor_3,0,1629.77,73.59958144
7/7/2016 0:00,sensor_4,0,7314.865,69.98024857
7/7/2016 4:00,sensor_0,39378.75,2807.6,80.34036202
7/7/2016 4:00,sensor_2,1635.75,3718.23625,71.11824994
7/7/2016 4:00,sensor_3,551.5,1912.08625,78.19061258
7/7/2016 4:00,sensor_4,3642.5,1965.26,70.96864812
7/7/2016 8:00,sensor_0,38091,3207.6675,84.30422609
7/7/2016 8:00,sensor_2,12781.75,5965.44375,75.73850662
7/7/2016 8:00,sensor_3,3573.875,1930.9175,80.00823094
7/7/2016 8:00,sensor_4,26159.875,9312.9375,72.3956408
7/7/2016 12:00,sensor_0,6267.5,3703.2,76.76605396
7/7/2016 12:00,sensor_2,11290.125,2817.00875,77.09564985
7/7/2016 12:00,sensor_3,6990.125,1963.7625,81.81967093
7/7/2016 12:00,sensor_4,40255.75,2527.98,75.17979239
7/7/2016 16:00,sensor_2,3916.5,3201.01,77.56256939
7/7/2016 16:00,sensor_3,3370,2359.89375,78.59269872
7/7/2016 16:00,sensor_4,14136.125,13499.985,75.079934
7/7/2016 20:00,sensor_2,88.375,7805.96125,73.55648651
7/7/2016 20:00,sensor_3,59.375,2333.66875,79.50182155
7/7/2016 20:00,sensor_4,292.375,10725.07625,70.64972255
7/8/2016 0:00,sensor_2,0,3868.5325,72.99904377
7/8/2016 0:00,sensor_3,0,1926.615,70.94135681
7/8/2016 0:00,sensor_4,0,2595.125,69.80391038
7/8/2016 4:00,sensor_0,20283.57143,2546.042857,80.61986438
7/8/2016 4:00,sensor_2,1755.75,2160.08,72.9113123
7/8/2016 4:00,sensor_3,657,2187.48125,77.63899387
7/8/2016 4:00,sensor_4,4070.75,9611.72,71.71146101
7/8/2016 8:00,sensor_0,25959.5,2715.861667,82.07384675
7/8/2016 8:00,sensor_2,11234.625,2249.615,76.94227015
7/8/2016 8:00,sensor_3,2075.125,2704.03125,80.58740449
7/8/2016 8:00,sensor_4,15045.75,30462.6575,72.39491069
7/8/2016 12:00,sensor_2,7856.5,2078.94125,76.54423357
7/8/2016 12:00,sensor_3,5822.5,3547.25375,79.38829278
7/8/2016 12:00,sensor_4,36006.875,6300.91,81.59433299
7/8/2016 16:00,sensor_2,2819.375,4234.35125,74.3659283
7/8/2016 16:00,sensor_3,2530,2261.71875,78.90393725
7/8/2016 16:00,sensor_4,9701.25,23540.73,80.93690571
7/8/2016 20:00,sensor_2,73,9319.34625,73.99784466
7/8/2016 20:00,sensor_3,45,2729.37,80.48196355
7/8/2016 20:00,sensor_4,251.625,2837.98375,78.06437613
7/9/2016 0:00,sensor_2,0,2853.9675,68.16561172
7/9/2016 0:00,sensor_3,0,2648.28125,71.84640775
7/9/2016 0:00,sensor_4,0,3286.895,75.54774685
7/9/2016 4:00,sensor_0,20956,3919.89,87.06425028
7/9/2016 4:00,sensor_2,520.5,5558.5475,69.46863557
7/9/2016 4:00,sensor_3,307.375,2107.53,76.49261884
7/9/2016 4:00,sensor_4,1468.625,2539.60125,71.98680055
7/9/2016 8:00,sensor_0,3215.875,3987.2875,74.52657877
7/9/2016 8:00,sensor_2,8155.625,2044.9,73.00704529
7/9/2016 8:00,sensor_3,4659.125,2554.4075,78.33149398
7/9/2016 8:00,sensor_4,24706.375,2512.8625,74.58569251
7/9/2016 12:00,sensor_0,0,3971.276667,78.43697499
7/9/2016 12:00,sensor_2,10762.75,2202.42625,72.54433048
7/9/2016 12:00,sensor_3,6606.375,2881.86,78.06125077
7/9/2016 12:00,sensor_4,33864.25,3455.08875,75.08433773
7/9/2016 16:00,sensor_2,2876.5,2905.75375,71.91793735
7/9/2016 16:00,sensor_3,1876.875,3460.695,79.55329001
7/9/2016 16:00,sensor_4,9296.875,6980.6575,74.79040807
7/9/2016 20:00,sensor_2,8.875,2170.84375,70.02832761
7/9/2016 20:00,sensor_3,7.125,1904.09,76.8153861
7/9/2016 20:00,sensor_4,28.75,7032.005,72.11332794
7/10/2016 0:00,sensor_2,0,1797.79,69.6125013
7/10/2016 0:00,sensor_3,0,1656.01875,70.1072314
7/10/2016 0:00,sensor_4,0,1687.145,66.28960194
7/10/2016 4:00,sensor_2,1902.75,4825.765,71.43282611
7/10/2016 4:00,sensor_3,743.5,1766.4725,70.75834492
7/10/2016 4:00,sensor_4,3783.375,1909.8325,68.24163192
7/10/2016 8:00,sensor_2,14877.75,2222.9225,73.47688471
7/10/2016 8:00,sensor_3,3677.25,1561.66625,75.26457041
7/10/2016 8:00,sensor_4,37156.5,18395.095,70.3230448
7/10/2016 12:00,sensor_2,9469.625,2111.5425,77.98007783
7/10/2016 12:00,sensor_3,6543.375,1704.435,80.9840863
7/10/2016 12:00,sensor_4,38199.125,7324.75875,75.54987358
7/10/2016 16:00,sensor_2,4462.5,4185.56,75.45885837
7/10/2016 16:00,sensor_3,4040.125,1660.3075,76.97196085
7/10/2016 16:00,sensor_4,15162.25,4852.1325,82.81946097
7/10/2016 20:00,sensor_0,11020.875,2173.72375,75.58362492
7/10/2016 20:00,sensor_2,67.125,5429.00625,73.00903477
7/10/2016 20:00,sensor_3,52,1393.295,77.04596688
7/10/2016 20:00,sensor_4,238,7121.71875,82.03676783
7/11/2016 0:00,sensor_0,31239.5,2542.76875,76.76605396
7/11/2016 0:00,sensor_2,0,5074.4125,69.90849553
7/11/2016 0:00,sensor_3,0,1592.26375,76.73246894
7/11/2016 0:00,sensor_4,0,1739.8725,72.52176213
7/11/2016 4:00,sensor_0,2267.75,2820.72375,74
7/11/2016 4:00,sensor_2,1442.75,4064.5125,72.8967617
7/11/2016 4:00,sensor_3,417.5,1790.52375,76.24616778
7/11/2016 4:00,sensor_4,2239,2160.75625,72.77969972
7/11/2016 8:00,sensor_0,0,2030.015,69.38015742
7/11/2016 8:00,sensor_2,11264.375,1978.58,75.63466749
7/11/2016 8:00,sensor_3,2386.25,2068.68625,79.95197886
7/11/2016 8:00,sensor_4,18965.5,12186.73375,74.68908714
7/11/2016 12:00,sensor_0,517.25,1844.7425,72.45969631
7/11/2016 12:00,sensor_2,4809.125,1822.2825,75.82839225
7/11/2016 12:00,sensor_3,3819.625,1823.415,78.26579333
7/11/2016 12:00,sensor_4,24739.125,17538.6225,73.26866406
7/11/2016 16:00,sensor_0,10537.66667,1854.351667,75.82160939
7/11/2016 16:00,sensor_2,2671.666667,1998.335,76.42625378
7/11/2016 16:00,sensor_3,3664.5,1905.743333,76.57747582
7/11/2016 16:00,sensor_4,11581.16667,6097.67,73.65749516
