zip,hospitalizations,rate,income,,,,
10001,794,109.1,86801,,,,
10002,"2,799",113.2,33726,,,,
10003,878,52,98151,,,,
10004,19,17,119691,,,,
10005,23,8.3,124194,,,,
10006,15,13.1,123691,,,,
10007,57,12,250000,,,,
10009,"3,082",163.3,59090,,,,
10010,290,29.5,101718,,,,
10011,588,37.5,109818,,,,
10012,161,22.8,100859,,,,
10013,165,18.9,96667,,,,
10014,121,12.5,113973,,,,
10016,"1,430",84.3,104826,,,,
10017,143,28.7,106421,,,,
10018,84,44.5,105500,,,,
10019,727,56,94022,,,,
10020,s,s,-,,,,
10021,281,20.9,115076,,,,
10022,161,15.5,126378,,,,
10023,671,31.2,111478,,,,
10024,732,41,113839,,,,
10025,"3,233",113,74065,,,,
10026,"3,227",305.7,47264,,,,
10027,"5,010",273.3,40782,,,,
10028,262,18.6,114939,,,,
10029,"9,002",386.2,31350,,,,
10030,"3,663",456.6,33196,,,,
10031,"3,004",173.7,39774,,,,
10032,"2,646",148.3,37280,,,,
10033,"1,802",111.1,44933,,,,
10034,"1,455",121.9,42581,,,,
10035,"3,743",346,27424,,,,
10036,552,67.9,75966,,,,
10037,"2,528",446.6,35491,,,,
10038,728,104.6,76379,,,,
10039,"3,041",384.5,33558,,,,
10040,"1,283",103.5,46200,,,,
10044,127,31.5,91383,,,,
10060,s,s,91383,,,,
10065,135,14.8,112869,,,,
10075,87,9.9,111691,,,,
10128,634,34.6,100200,,,,
10203,s,s,-,,,,
10280,61,34,145432,,,,
10301,"1,828",150.5,54605,,,,
10302,870,149.3,54170,,,,
10303,"1,360",168.5,52553,,,,
10304,"1,869",146.8,54106,,,,
10305,992,78.9,72782,,,,
10306,816,49,79686,,,,
10307,166,38.3,76857,,,,
10308,252,30.4,87174,,,,
10309,338,32.7,87509,,,,
10310,"1,179",157.6,68080,,,,
10312,547,31,84584,,,,
10314,"1,164",45,77331,,,,
11004,147,36.9,85968,,,,
11005,s,s,58894,,,,
11101,"1,384",162.3,48013,,,,
11102,"1,084",101.1,51123,,,,
11103,429,38.2,59243,,,,
11104,344,40.7,55294,,,,
11105,558,51.2,61646,,,,
11106,928,77,54109,,,,
11109,13,13.2,129505,,,,
11120,s,s,129505,,,,
11201,"1,867",113.4,101150,,,,
11203,"4,235",179.4,45936,,,,
11204,585,23.7,46560,,,,
11205,"2,000",152,47575,,,,
11206,"7,258",273.4,30779,,,,
11207,"8,450",286.3,34252,,,,
11208,"6,904",232.3,35698,,,,
11209,970,46,62761,,,,
11210,"1,850",93.4,57565,,,,
11211,"2,422",84,54406,,,,
11212,"9,242",350.9,28207,,,,
11213,"4,909",251.8,34701,,,,
11214,844,30.8,49828,,,,
11215,994,49.6,103716,,,,
11216,"3,820",227.5,47107,,,,
11217,"1,117",103.6,87091,,,,
11218,"1,146",49.4,56120,,,,
11219,958,33.8,35974,,,,
11220,"2,423",78.2,38893,,,,
11221,"8,086",321.7,40635,,,,
11222,452,39.6,72409,,,,
11223,"1,341",55.2,43019,,,,
11224,"1,876",127.9,28006,,,,
11225,"2,840",158.9,44911,,,,
11226,"5,483",177.1,43399,,,,
11228,346,27.2,64250,,,,
11229,950,39.2,52168,,,,
11230,"1,003",40.1,41068,,,,
11231,"1,072",102.7,83310,,,,
11232,722,80.5,44474,,,,
11233,"6,669",316.1,33745,,,,
11234,"1,987",74,71115,,,,
11235,917,36.5,42818,,,,
11236,"4,460",154.2,58705,,,,
11237,"3,239",206.7,44950,,,,
11238,"2,384",152.8,70873,,,,
11239,662,159.8,26186,,,,
11240,s,s,26186,,,,
11251,s,s,26186,,,,
11354,710,40.9,44741,,,,
11355,961,37.1,39168,,,,
11356,478,64.4,57194,,,,
11357,266,21.9,73750,,,,
11358,344,29.7,65258,,,,
11359,s,s,-,,,,
11360,100,17.5,80235,,,,
11361,261,29.6,79158,,,,
11362,85,15.2,86758,,,,
11363,38,17.6,89219,,,,
11364,234,21.9,72477,,,,
11365,785,60.6,59520,,,,
11366,174,40.8,72486,,,,
11367,794,62.9,56557,,,,
11368,"2,709",78.4,45004,,,,
11369,980,84.8,52310,,,,
11370,488,54,53427,,,,
11372,"1,118",54.8,50485,,,,
11373,"1,533",48.6,47588,,,,
11374,431,32.1,52132,,,,
11375,567,26.9,72414,,,,
11377,"1,319",48.2,50436,,,,
11378,508,47.8,57127,,,,
11379,399,36.5,71551,,,,
11385,"2,704",89.4,55331,,,,
11411,503,91.8,81149,,,,
11412,"1,452",137.5,72458,,,,
11413,"1,465",124,81287,,,,
11414,356,44.5,68374,,,,
11415,285,47.9,63756,,,,
11416,928,121.3,58392,,,,
11417,725,81.7,62057,,,,
11418,"1,424",128.3,61480,,,,
11419,"1,354",95.6,58266,,,,
11420,"1,343",96.6,59660,,,,
11421,"1,130",93.1,60996,,,,
11422,937,97.6,84955,,,,
11423,861,96.8,62179,,,,
11426,240,41.7,77146,,,,
11427,484,69.6,66007,,,,
11428,467,80.5,67151,,,,
11429,723,95,68684,,,,
11430,25,452.9,-,,,,
11432,"2,339",122.3,50702,,,,
11433,"1,986",191.9,42964,,,,
11434,"3,056",167.6,58076,,,,
11435,"1,948",118.4,52686,,,,
11436,829,149,64005,,,,
11691,"3,126",166.7,42023,,,,
11692,"1,019",168.7,42127,,,,
11693,427,112.5,53281,,,,
11694,337,53.1,75094,,,,
11697,20,16.1,93333,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
